--> Time-of-Flight Data Log <--
Timestamp, Distance(m)
16:42:03.545117,10.01
16:42:04.041220,10.41
16:42:04.364502,9.9
16:42:04.625584,10.3
16:42:05.040663,9.68
16:42:05.371849,9.79
16:42:05.991205,0.0
16:42:06.228269,9.71
16:42:06.646296,9.82
16:42:07.525870,0.0
16:42:08.005169,3.2
16:42:08.435063,0.0
16:42:08.742278,0.0
16:42:09.042332,9.9
16:42:09.640171,3.71
16:42:10.156051,10.04
16:42:11.198232,2.72
16:42:11.634505,10.08
16:42:12.372827,5.4
16:42:12.859372,9.82
16:42:13.251847,10.04
16:42:14.274951,9.53
16:42:15.259565,7.52
16:42:15.906377,9.9
16:42:16.560010,9.9
16:42:16.900936,9.79
16:42:18.058226,5.87
16:42:18.283090,5.83
16:42:18.544333,0.0
16:42:19.084973,10.34
16:42:19.418550,0.0
16:42:19.934151,10.23
16:42:20.442853,10.15
16:42:20.703512,0.0
16:42:21.134286,10.37
16:42:21.424314,10.12
16:42:21.615024,1.04
16:42:21.959446,10.45
16:42:22.211871,10.15
16:42:22.542109,10.19
16:42:22.915885,10.48
16:42:23.317561,1.81
16:42:23.822653,0.0
16:42:24.296889,1.22
16:42:24.735212,10.34
16:42:24.897518,0.0
16:42:25.191626,4.55
16:42:25.478696,0.0
16:42:25.931713,10.41
16:42:26.215853,10.37
16:42:26.403321,5.65
16:42:26.823477,10.19
16:42:27.065004,5.36
16:42:27.467482,0.0
16:42:27.668415,9.24
16:42:27.949629,0.0
16:42:28.456940,7.7
16:42:29.196658,9.79
16:42:29.500435,9.97
16:42:30.220964,9.57
16:42:30.552580,1.22
16:42:30.812803,9.68
16:42:31.195102,3.16
16:42:31.694013,1.52
16:42:32.020256,17.15
16:42:32.243369,5.14
16:42:32.516881,9.93
16:42:32.766226,5.36
16:42:33.056113,0.0
16:42:33.568582,9.64
16:42:33.961065,9.68
16:42:34.169608,9.57
16:42:35.235092,9.57
16:42:35.363443,9.39
16:42:35.732270,9.86
16:42:36.213699,5.47
16:42:36.608586,9.6
16:42:36.967094,9.64
16:42:37.148987,3.13
16:42:37.819162,1.41
16:42:38.643249,9.71
16:42:39.012237,9.9
16:42:39.710133,9.9
16:42:40.315470,10.34
16:42:40.473583,9.6
16:42:41.188241,0.27
16:42:41.879981,9.64
16:42:42.470266,0.27
16:42:42.788564,3.64
16:42:43.055922,0.0
16:42:43.494188,9.39
16:42:43.779022,9.9
16:42:44.100590,10.08
16:42:44.893785,5.76
16:42:45.488105,10.04
16:42:45.951709,3.42
16:42:46.282212,9.97
16:42:46.592504,9.86
16:42:46.893185,0.0
16:42:47.357315,0.0
16:42:47.676657,5.58
16:42:48.049858,10.04
16:42:48.378787,0.0
16:42:48.669385,9.71
16:42:49.020104,9.64
16:42:49.163647,0.0
16:42:49.461741,0.0
16:42:50.056998,10.08
16:42:50.415499,1.26
16:42:50.818647,10.01
16:42:51.053248,5.47
16:42:51.846463,2.03
16:42:52.256468,1.15
16:42:52.683778,10.48
16:42:52.946945,10.04
16:42:53.469866,10.19
16:42:53.774132,10.52
16:42:53.987331,10.23
16:42:54.421360,9.86
16:42:54.619248,0.0
16:42:55.203243,10.01
16:42:55.649793,6.38
16:42:55.882476,9.71
16:42:56.389236,9.53
16:42:56.693159,0.38
16:42:57.185070,9.82
16:42:57.835594,9.75
16:42:58.184421,9.57
16:42:58.918180,10.04
16:42:59.234392,10.41
16:43:00.200492,9.9
16:43:00.671722,9.9
16:43:01.009514,10.3
16:43:01.468708,9.71
16:43:01.801710,9.6
16:43:01.989751,3.35
16:43:02.771003,10.12
16:43:02.966100,9.86
16:43:03.648933,9.46
16:43:03.989372,5.29
16:43:04.977359,9.39
16:43:05.516987,5.1
16:43:05.825265,9.93
16:43:06.169073,5.69
16:43:06.793068,6.16
16:43:07.084128,9.86
16:43:08.031190,9.75
16:43:08.420800,10.96
16:43:08.919222,9.82
16:43:09.211876,2.94
16:43:09.639469,9.79
16:43:10.140606,9.79
16:43:10.348306,3.42
16:43:10.670243,9.86
16:43:10.975130,10.01
16:43:11.555934,5.58
16:43:12.227955,10.19
16:43:12.467187,9.75
16:43:12.743026,5.47
16:43:13.040639,5.69
16:43:13.355576,6.09
16:43:13.673792,0.23
16:43:13.985312,0.71
16:43:14.182979,10.12
16:43:14.763849,5.4
16:43:15.009748,10.08
16:43:15.400613,9.9
16:43:15.716568,10.04
16:43:15.955654,10.04
16:43:16.609774,9.9
16:43:16.871150,0.0
16:43:17.484294,9.71
16:43:18.020805,9.86
16:43:19.030576,0.27
